image_id,class,tissue,dice,sensitivity,specificity,hd95,alpha_mae,fp_fraction
MDB001,CIRC,G,0.9120952500435052,0.9264743363122888,0.5806229282221274,45.967379738244816,0.22356636822223663,
MDB002,CIRC,G,0.8697622533640104,0.8345039801993445,0.9245891843441888,17.08800749063506,0.22726470232009888,
MDB005,CIRC,F,0.8907563025210085,0.8078695498050337,0.9976319821702186,7.0,0.13693977892398834,
MDB010,CIRC,F,0.866272567502796,0.7952478732766207,0.9822409607767982,9.219544457292887,0.1348615437746048,
MDB012,CIRC,F,0.7662289851515524,0.6212935323383084,0.9997866666666667,14.317821063276353,0.1719200164079666,
MDB013,MISC,G,0.7663065226090436,0.6381206264578474,0.98892340942861,12.041594578792296,0.16634422540664673,
MDB015,CIRC,G,0.7520731811575617,0.6064805239572562,0.9944144253536519,23.259406699226016,0.22681200504302979,
MDB017,CIRC,G,0.8791041365125314,0.7999445445723,0.9872374368519011,10.770329614269007,0.1834719181060791,
MDB018,NORM,G,,,1.0,,0.049004409462213516,0.0
MDB019,CIRC,G,0.7925224646983312,0.6563455149501661,1.0,16.284940539637553,0.19275407493114471,
MDB021,CIRC,G,0.8792327554407967,0.7918936877076412,0.9938362705095929,11.045361017187261,0.15655505657196045,
MDB023,CIRC,G,0.9188,0.8737162419170788,0.9893906810035842,5.830951894845301,0.13054099678993225,
MDB025,CIRC,F,0.7887675317168152,0.6621545691372529,0.9850719179636099,29.620767238843406,0.23276036977767944,
MDB028,CIRC,F,0.8665499519963856,0.7792788217369223,0.9856701108680896,14.0,0.17809787392616272,
MDB029,NORM,G,,,1.0,,0.07139666378498077,0.0
MDB030,MISC,G,0.7164542936288089,0.558472965969943,0.999702587488847,16.0,0.2073400616645813,
MDB031,NORM,G,,,1.0,,0.07286179065704346,0.0
MDB032,MISC,G,0.7625628140703518,0.6215168580413954,0.992646596694111,25.944170185080555,0.24253639578819275,
MDB034,NORM,D,,,1.0,,0.02977726422250271,0.0
MDB040,NORM,D,,,1.0,,0.03267313912510872,0.0
MDB041,NORM,G,,,1.0,,0.03872009739279747,0.0
MDB046,NORM,G,,,1.0,,0.06177470088005066,0.0
MDB054,NORM,D,,,1.0,,0.05904727801680565,0.0
MDB058,MISC,D,0.849,0.7418086500655308,0.9980143577210936,8.06225774829855,0.1253982037305832,
MDB063,MISC,D,0.8462799082268109,0.7574068641830449,0.9858183211958604,7.810249675906654,0.15371453762054443,
MDB064,NORM,D,,,1.0,,0.062221936881542206,0.0
MDB069,CIRC,F,0.8110328638497653,0.6822445285502715,0.9999029785582614,12.041594578792296,0.16636118292808533,
MDB080,CIRC,F,0.9015900300816502,0.8345266507557677,0.995916780089442,4.47213595499958,0.09814620018005371,
MDB091,CIRC,F,0.823474615742897,0.7032617342879872,0.9988333657398406,7.0,0.1228698343038559,
MDB093,NORM,G,,,1.0,,0.056126147508621216,0.0
MDB094,NORM,G,,,1.0,,0.044151972979307175,0.0
MDB096,NORM,F,,,1.0,,0.03627708554267883,0.0
MDB098,NORM,F,,,1.0,,0.04491317272186279,0.0
MDB100,NORM,D,,,1.0,,0.06516830623149872,0.0
MDB108,NORM,D,,,1.0,,0.05934258922934532,0.0
MDB112,NORM,D,,,1.0,,0.04975331202149391,0.0
MDB123,NORM,G,,,1.0,,0.05675366148352623,0.0
MDB129,NORM,D,,,1.0,,0.056232158094644547,0.0
MDB132,CIRC,F,0.7761537907696738,0.6343415323055196,0.9998365879565324,19.69009066871165,0.21868747472763062,
